Year,Site,F10,F50,F90,F10L,F50L,F90L,F10U,F50U,F90U,First.male.flight,First.flight,Last.flight,Last_First,F90_F10,GrowthRate,N.aphids,N.flights,Synchrony,site.year,ppt.ONDJFM,ppt.AMJJAS,tmean.ONDJFM,tmean.AMJJAS,Prop.cropland,Edge.density,Prop.forestwetland,Longitude,Latitude
2015,East Lansing,230.421624277259,246.9998951108,263.578165944342,211.504064292495,241.951356648331,254.783258334235,239.328919395738,251.932021146979,282.882028905587,NA,240,261,21,33.1565416670835,0.0331296853100979,4,2,0.13,East Lansing_2015,-1.78263820239509,1.05495162652706,-1.20098445174263,-0.41104794606572,0.0954634520849329,254.664909566646,0.142410248771041,-84.5,42.69
2016,East Lansing,1298.76543062802,1343.23621515209,1387.70699967615,1251.0311573356,1291.8546351329,1331.24674644884,1356.04405372911,1393.79209304714,1434.80467338605,295,274,295,21,88.9415690481283,0.0123504206543411,3,3,0.17,East Lansing_2016,-0.391006855690529,0.147518246376521,1.25945728307644,0.44836689552769,0.101490792835944,262.136404438587,0.150809565825207,-84.5,42.69
2018,East Lansing,267.864371405227,269.527229928678,271.190088452128,267.862020221052,269.526398090966,271.187769764562,267.866738699472,269.528090439593,271.192404645229,NA,271,278,7,3.32571704690065,0.33029442249944,8,2,1,East Lansing_2018,2.18707145853977,-0.509930191580979,0.0737354053028681,0.719366279341859,0.0940769345357458,258.939246356882,0.143235284006921,-84.5,42.69
2005,Eau Claire,209.200197757484,219.362500355273,229.524802953061,207.331298022268,218.803239794838,228.088204254783,210.605442396368,219.939884434154,231.356374071486,NA,189,273,84,20.3246051955766,0.0540461072100294,841,13,0.21,Eau Claire_2005,0.487532205042581,-1.28087437940064,0.375004830730069,0.845475433500329,0.181063922440467,244.798710278803,0.183436089019275,-91.59,44.75
2006,Eau Claire,202.154051528859,211.587452054637,221.020852580415,194.708816093125,210.04174299803,217.806627682748,205.432649536036,213.164831707582,228.580516291911,NA,188,286,98,18.8668010515559,0.0582221537397864,165,11,0.23,Eau Claire_2006,-0.913185904829838,-0.902338451769486,0.703761322157327,0.958899369832974,0.321047797787805,154.491417618838,0.348480613345047,-91.59,44.75
2007,Eau Claire,203.560189182715,211.815488152507,220.070787122299,202.93405020732,211.601911215087,219.517492384042,204.09799107217,212.026032241598,220.698954906701,NA,159,236,77,16.5105979395841,0.0665309515391968,1960,11,0.26,Eau Claire_2007,-0.169893980595421,-0.546246856451525,0.337834494028671,0.565521100046173,0.257037894820908,138.468976218048,0.433853771512998,-91.59,44.75
2008,Eau Claire,212.206391570632,224.778465120002,237.350538669373,207.731306267056,223.551964982858,234.581375470116,214.995987207645,225.96688932517,242.037733901658,NA,165,284,119,25.1441470987405,0.0436867389889163,592,12,0.17,Eau Claire_2008,-0.358124447060787,-0.367960173295704,-0.44652200484419,-1.49418396443968,0.361256904494511,227.85545114218,0.372636428227636,-91.59,44.75
2009,Eau Claire,228.849215592752,228.961284547578,229.073353502404,228.849215592752,228.961284547578,229.073353502404,228.849215592752,228.961284547578,229.073353502404,NA,233,233,0,0.224137909652939,4.90084784456974,99,1,1,Eau Claire_2009,-1.48901988668723,-0.864720026005976,-0.659664384963267,-1.77028899117862,0.333272214709725,216.319046527619,0.382835598542321,-91.59,44.75
2010,Eau Claire,204.701681455411,215.742221981146,226.78276250688,196.927303469024,214.050286907765,223.327199746002,208.25113415144,217.394337784139,233.948696583647,NA,197,225,28,22.0810810514693,0.0497469208523445,60,5,0.19,Eau Claire_2010,0.0889549843680119,1.37155738460731,0.0940812215591772,0.708957422528122,0.295099814352181,214.836885934754,0.384153468863882,-91.59,44.75
2011,Eau Claire,195.04538544554,228.204002061195,261.362618676849,156.852603605226,218.457417370407,244.24175624457,212.329199153864,237.964908118671,297.897387894818,259,210,273,63,66.3172332313095,0.0165638060859729,16,7,0.06,Eau Claire_2011,0.755431121304199,-0.36674512297488,-0.383856097388598,-0.498996531464697,0.304462423506223,214.82542593017,0.420217276706928,-91.59,44.75
2012,Eau Claire,204.399300953493,224.910333845531,245.421366737569,190.210050674261,221.861900361123,239.033275176429,210.790597470078,227.945541499026,259.771830883543,NA,208,257,49,41.0220657840761,0.0267774372257001,24,7,0.1,Eau Claire_2012,-1.2621960857195,-1.53216437486279,1.71603929511785,1.48894115423719,0.283216061974285,220.360608144243,0.425855469734821,-91.59,44.75
2013,Eau Claire,218.989383771986,230.141091118216,241.292798464446,216.776942318106,229.475176187942,239.628499221873,220.658905961781,230.802803603937,243.505864876907,NA,186,256,70,22.3034146924593,0.0492510140957488,488,8,0.19,Eau Claire_2013,0.383228956546063,-0.387567803696014,-0.0820258232995538,-0.933934387346394,0.324150260136142,219.222247688899,0.403325617107103,-91.59,44.75
2014,Eau Claire,232.170623786538,240.068551984432,247.966480182325,226.468260121992,238.853126869268,245.341013261026,234.749397191386,241.29416531477,253.927714521033,269,213,269,56,15.7958563957874,0.0695413888223553,17,6,0.27,Eau Claire_2014,0.247098663912807,1.72213531285253,-1.44586996128795,-0.87298350746259,0.316128440787513,216.219726487891,0.420033920836103,-91.59,44.75
2018,Eau Claire,217.529024129963,223.421574146482,229.314124163001,216.77702726203,223.180624642046,228.707114041419,218.142713142927,223.66116115952,230.050154140702,NA,201,250,49,11.7851000330381,0.093208015911808,2231,8,0.37,Eau Claire_2018,-0.284443983996664,0.0347151785532492,-0.187989649668763,0.220182764912208,0.344605899475144,233.318053327221,0.455135110357315,-91.59,44.75
2019,Eau Claire,217.898629822841,222.183744475635,226.46885912843,215.631955408892,221.660155677274,225.321358100591,219.060425774731,222.711040607546,228.709557774711,NA,214,228,14,8.57022930558821,0.128172275470528,6,3,0.51,Eau Claire_2019,0.325140774098825,0.828475415370976,-2.07109845899782,-0.780412569028915,0.34056061057505,261.704484681794,0.458790768031904,-91.59,44.75
2005,Hancock,194.131155123409,211.814552381934,229.497949640458,180.105209382907,208.942225640088,223.469274022285,200.077201923481,214.672525808978,243.091769592427,NA,189,259,70,35.3667945170491,0.0310592409179762,351,10,0.12,Hancock_2005,0.423088684566859,-0.3650089984835,0.344784879280526,1.42494077970874,0.296186809661304,175.821951294039,0.172876850451441,-89.53,44.12
2006,Hancock,200.79553546384,224.554674773736,248.313814083632,178.998478411596,220.264938074547,239.569009565241,209.61313660998,228.873661468439,268.72961231189,NA,195,293,98,47.5182786197921,0.0231167000006627,151,13,0.09,Hancock_2006,-0.832236378779574,-0.829835465617179,0.696770785333865,0.74273158629279,0.403641881638846,140.995835235052,0.288914623432634,-89.53,44.12
2007,Hancock,209.04914014839,213.422655544969,217.796170941548,204.153606790447,212.12008060564,215.496240949877,211.365043031725,214.692774130589,222.626772177777,NA,173,250,77,8.74703079315742,0.125581562175459,673,10,0.17,Hancock_2007,-0.756730683927154,-0.49299713199347,0.588726268952904,1.02365464481134,0.408234166600111,130.148904609767,0.30828208609536,-89.53,44.12
2008,Hancock,218.66131566084,229.341619844453,240.021924028066,214.924611622527,228.374974918043,237.768252259874,220.90216554432,230.306279753998,243.617490017908,NA,200,242,42,21.3606083672257,0.0514248364333609,1494,7,0.2,Hancock_2008,0.126688764583009,-0.0894203734769595,-0.231299281208395,-0.660350557483889,0.480315321508777,177.834815290127,0.328887666712499,-89.53,44.12
2009,Hancock,213.070655969383,219.062781579554,225.054907189725,211.151045867824,218.54697448103,223.856953809729,214.243463324352,219.578371454427,226.929553534325,NA,191,226,35,11.9842512203421,0.0916591092096893,754,6,0.36,Hancock_2009,-0.341430897715324,-1.30522925870108,-0.62308653873662,-1.45382000597464,0.449298776295889,194.988083234027,0.297997158439892,-89.53,44.12
2010,Hancock,206.979118769691,217.566430107435,228.153741445179,204.681672554418,216.865010224502,226.440898913899,208.627560958206,218.274842695793,230.504895512157,NA,204,246,42,21.1746226754871,0.0518765225825412,69,7,0.2,Hancock_2010,-0.0585891615617344,1.65503150323849,0.249954702530568,1.18277198441101,0.482641275952151,210.120848229291,0.294766029607224,-89.53,44.12
2011,Hancock,187.626432977433,208.418927482249,229.211421987065,167.709899697815,204.059447097843,220.831011986415,195.975417492147,212.673460462724,248.832675391212,NA,161,280,119,41.584989009632,0.0264149592812735,31,8,0.1,Hancock_2011,-0.323152727571243,-0.660013873643669,-0.408377872048309,-0.725781996892978,0.439937669004079,190.652977663703,0.333379164947981,-89.53,44.12
2012,Hancock,184.680786695743,226.071194341531,267.46160198732,138.199820288357,207.55363036668,239.180530334056,212.72702168396,244.050644180028,315.924148238795,NA,152,250,98,82.7808152915777,0.0132695696162513,6,4,0.05,Hancock_2012,-0.232211756931736,-1.42099212464149,1.77380830825214,1.44463309319512,0.500905174389294,198.780823173526,0.346578669966543,-89.53,44.12
2013,Hancock,192.017943247384,220.159323967018,248.300704686652,174.635930570903,216.319771721559,240.117916331511,200.24406759514,223.98149540089,265.589497624958,NA,186,284,98,56.2827614392682,0.0195169135861773,193,13,0.07,Hancock_2013,0.925386087695635,-0.635575579535683,-0.155622116224156,-1.04802755240565,0.457995325175306,187.375867021114,0.345593290251615,-89.53,44.12
2014,Hancock,219.776385356522,221.723082929401,223.669780502279,219.091290137825,221.543576954994,223.245680229531,220.196212760244,221.904500677783,224.340791896571,NA,213,227,14,3.89339514575681,0.282135706826247,24,2,1,Hancock_2014,-0.228102165103138,-0.102725289477616,-1.67908742148552,-1.09836298757115,0.470186534671617,177.724050478198,0.32818873458912,-89.53,44.12
2015,Hancock,211.912841707696,225.296256456651,238.679671205606,202.510263249651,223.261487536026,234.368090721639,216.170112062027,227.315993024322,247.970840501058,NA,191,275,84,26.76682949791,0.0410383228797206,357,10,0.16,Hancock_2015,-1.41959404230952,-0.291332435108462,-0.681393801251466,0.294219375253829,0.497788624593245,190.649158187429,0.371648563178881,-89.53,44.12
2016,Hancock,217.852177774575,218.260497300343,218.668816826112,217.419366368511,218.161593045175,218.484872752914,218.036045704707,218.357891857399,219.094517787716,267,162,267,105,0.816639051537265,1.34510563673508,81,8,0.3,Hancock_2016,2.85802117887883,1.03463231212937,1.21333985945816,0.370646188386923,0.484199550850176,197.36379747609,0.373550575186764,-89.53,44.12
2017,Hancock,219.133481550859,245.518365559756,271.903249568652,194.315711148472,240.360910536335,261.56342204588,229.315228149648,250.759321577927,297.396720352849,265,181,279,98,52.7697680177935,0.0208161951940215,66,12,0.08,Hancock_2017,0.808343277393981,0.694205163615101,0.922076880331926,-0.363700636752336,0.491143040469315,191.000550004583,0.372576653375499,-89.53,44.12
2018,Hancock,216.908702045405,223.631271089561,230.353840133717,214.424904814822,222.987563092766,228.87044627024,218.42064743594,224.291096231684,232.860001041565,NA,201,271,70,13.4451380883119,0.0816998519603567,740,7,0.32,Hancock_2018,-0.655366773987538,1.53065909796096,-0.116439027516888,-0.0646622377688263,0.491360740638893,196.145384544871,0.368325771116916,-89.53,44.12
2019,Hancock,226.430314774674,232.967380441894,239.504446109114,223.667779207779,232.271183560349,237.940060029315,228.02522155679,233.65013716129,242.254047353138,NA,200,242,42,13.0741313344399,0.0840182619634604,64,5,0.33,Hancock_2019,-0.294113405231359,1.27860245373519,-1.89415562566873,-1.06889167721028,0.485849488977497,220.406635422277,0.359480269489894,-89.53,44.12
2005,Kellogg,206.853493032595,214.333568554769,221.813644076944,205.125895865427,213.823038740418,220.58073857024,208.09747172973,214.851452213217,223.515222175186,NA,182,259,77,14.9601510443487,0.0734261163637548,6694,11,0.29,Kellogg_2005,0.609590419295446,-1.40728770054466,0.043938635992989,1.33159801607998,0,NA,0,-85.37,42.41
2006,Kellogg,263.593241119414,272.978469146074,282.363697172734,259.886961662477,272.042664035522,280.195441473658,265.770065210504,273.93984889216,286.114847154525,NA,230,286,56,18.77045605332,0.0585209964148558,21,5,0.23,Kellogg_2006,-0.43485732015563,-0.395548682698688,0.610285917659549,-0.429905238160327,0,NA,0,-85.37,42.41
2007,Kellogg,209.0532834347,220.000126867155,230.946970299609,196.7301872884,216.635695546575,225.095634029674,214.842692902521,223.325821557923,243.29746722139,278,145,278,133,21.8936868649095,0.0501727186553581,57,12,0.2,Kellogg_2007,0.647908307963889,-1.24067639637561,0.374693141443166,1.10725356878217,0.236242467776048,139.93962578247,0.38980007183048,-85.37,42.41
2008,Kellogg,249.580330970753,255.734812272765,261.889293574777,245.885773600074,254.923657963848,260.091491344547,251.332208920845,256.578422870044,265.464057002584,NA,256,277,21,12.3089626040238,0.0892411348331347,7,3,0.35,Kellogg_2008,0.490870503500001,1.15929827229522,-0.010413576083462,0.434818015064749,0.271120156430823,131.879753258155,0.357197015044495,-85.37,42.41
