Year,Site,F10,F50,F90,F10L,F50L,F90L,F10U,F50U,F90U,First.male.flight,First.flight,Last.flight,Last_First,F90_F10,GrowthRate,N.aphids,N.flights,Synchrony,site.year,ppt.ONDJFM,ppt.AMJJAS,tmean.ONDJFM,tmean.AMJJAS,Prop.cropland,Prop.forestwetland,Edge.density,Longitude,Latitude
2013,NEPAC,205.620451626572,237.828659241881,270.03686685719,166.90957118824,222.559131473773,246.540305000949,229.022060209872,253.304508910605,308.717583405046,NA,144,291,147,64.4164152306182,0.0170525756124278,271,15,0.06,NEPAC_2013,-1.07968584744075,1.31318315061984,-0.0698564058145343,-0.757139682258549,0.704410804120876,0.091310177280176,139.126050034953,-85.4,41.11
2014,NEPAC,189.151204797522,225.663211408565,262.175218019607,149.271062469058,215.458183113884,243.577946650337,207.285039960385,235.624314944986,303.449786718254,NA,143,290,147,73.0240132220856,0.0150425283811903,229,16,0.06,NEPAC_2014,0.0256607929947537,0.251123843521194,-1.61821539374618,-1.4672721820187,0.71012914981149,0.0892359877611359,131.336977656555,-85.4,41.11
2015,NEPAC,238.691542912393,243.529747425447,248.367951938502,236.408961850211,242.975720703633,247.172476884764,239.900881265773,244.070336898664,250.512893625268,NA,149,289,140,9.67640902610839,0.113519983336567,459,14,0.45,NEPAC_2015,-1.17438724601777,0.56830816014328,-1.19078302068625,-0.299410877521149,0.720798047282354,0.0923300826237924,133.464742891851,-85.4,41.11
2016,NEPAC,251.520665551366,266.337994333115,281.155323114864,239.357119809503,263.839110042157,275.99717868811,256.648673322075,268.886864712727,293.589569733052,NA,204,281,77,29.634657563498,0.0370669304697698,83,9,0.14,NEPAC_2016,-0.854610462750288,0.341103086193349,1.23545028416324,0.443286105354679,0.719193701798013,0.0923071634025875,136.184615149536,-85.4,41.11
2017,NEPAC,238.760235009328,253.269727318935,267.779219628543,226.731465410778,250.657545624021,262.423282556109,244.049841050233,255.881440635519,280.888621979648,NA,139,293,154,29.0189846192159,0.0378533503434247,213,14,0.15,NEPAC_2017,0.281789694740601,1.20477277263812,1.20487912269244,-0.478186551666099,0.716844481624514,0.0915508291028271,133.487663163685,-85.4,41.11
2018,NEPAC,216.286283324128,216.508194258931,216.730105193735,216.054577549125,216.453019185798,216.626813402921,216.389458464929,216.564053146873,216.960502884684,NA,145,236,91,0.443821869607177,2.47501501531828,67,5,0.62,NEPAC_2018,0.116694839966407,1.14717287738899,0.0965406120197986,0.44995556433131,0.723342080836093,0.0932697706931918,135.970692612414,-85.4,41.11
2019,NEPAC,200.090070919273,250.097728956607,300.105386993941,142.692297250198,235.904499865802,274.350428567784,225.846140532812,264.853892879942,356.858307616964,NA,137,291,154,100.015316074668,0.0109829757532492,56,9,0.04,NEPAC_2019,0.331335629415979,0.276189444908396,-1.78697404585783,0.102343923715215,0.685697260007105,0.109255927483584,143.156197832506,-85.4,41.11
2005,Orr,211.567619621194,243.080473832991,274.593328044787,184.726034200953,237.528796898082,263.404305504582,222.734218392221,248.560739310689,300.992248624196,NA,154,287,133,63.0257084235923,0.0174288527471826,178,18,0.06,Orr_2005,1.17540443313374,-1.12328260095664,0.48378438148999,0.788096716496733,0.546861929480789,0.211695142493726,197.823437959578,-90.82,39.81
2006,Orr,228.129993752188,249.045018324106,269.960042896024,209.027473060372,244.938182214364,261.989976104968,236.059428620385,253.129376153703,288.540038216841,NA,160,293,133,41.8300491438351,0.0262602080056021,413,14,0.1,Orr_2006,-0.683986142165817,-0.670729368703121,0.527601399496802,-0.0145668246617143,0.565387533442478,0.177973884917941,140.036167809509,-90.82,39.81
2007,Orr,206.86457292686,218.842363482773,230.820154038685,194.990991789286,216.36551253869,225.970574701891,211.752312149197,221.395271813167,242.467022737455,NA,138,278,140,23.9555811118246,0.0458542744704863,635,15,0.18,Orr_2007,0.16923582146819,-1.50476784249083,0.269220131885689,0.462817369337582,0.383580241983788,0.341492632671804,99.5858551862225,-90.82,39.81
