Year,Site,F10,F50,F90,F10L,F50L,F90L,F10U,F50U,F90U,First.male.flight,First.flight,Last.flight,Last_First,F90_F10,GrowthRate,N.aphids,N.flights,Synchrony,site.year,ppt.ONDJFM,ppt.AMJJAS,tmean.ONDJFM,tmean.AMJJAS,Prop.cropland,Prop.forestwetland,Edge.density,Longitude,Latitude
2019,NEPAC,213.395451873559,245.905134147379,278.414816421198,177.074136845446,234.988826667999,259.550754773679,231.89818885178,256.694792116538,316.383887335966,NA,228,291,63,65.019364547639,0.0168944405877234,116,6,0.06,NEPAC_2019,0.331335629415979,0.276189444908396,-1.78697404585783,0.102343923715215,0.685697260007105,0.109255927483584,143.156197832506,-85.4,41.11
2005,Orr,226.253239852865,245.781746429106,265.310253005348,218.367008302149,243.680103703918,260.706121303325,230.878939148151,247.880559891908,273.254678491226,NA,168,287,119,39.0570131524828,0.0281246747444069,559,15,0.11,Orr_2005,1.17540443313374,-1.12328260095664,0.48378438148999,0.788096716496733,0.546861929480789,0.211695142493726,197.823437959578,-90.82,39.81
2006,Orr,235.828843737867,246.119078037493,256.40931233712,228.60733516704,244.546061878969,253.108774033789,239.102741765097,247.656297723038,263.705933517494,NA,167,293,126,20.5804685992532,0.0533741875751764,687,18,0.21,Orr_2006,-0.683986142165817,-0.670729368703121,0.527601399496802,-0.0145668246617143,0.565387533442478,0.177973884917941,140.036167809509,-90.82,39.81
2007,Orr,195.015251760363,222.922213441182,250.829175122001,179.707190910236,219.344246959121,243.046134812799,202.784011951003,226.514055974934,266.759533030831,NA,173,278,105,55.8139233616379,0.0196808560524279,470,16,0.07,Orr_2007,0.16923582146819,-1.50476784249083,0.269220131885689,0.462817369337582,0.383580241983788,0.341492632671804,99.5858551862225,-90.82,39.81
2008,Orr,219.808580162054,242.153655974155,264.498731786256,212.152513551847,240.062785442433,259.677724418179,224.534608925143,244.226618816574,271.949368845089,NA,200,291,91,44.6901516242029,0.0245795941942329,456,14,0.09,Orr_2008,0.812469311593611,1.55617398814255,-0.161965211471125,-1.73074097336949,0.48069717075183,0.301293730734413,121.689604987223,-90.82,39.81
2009,Orr,261.754960585608,268.344195830456,274.933431075304,258.301130936089,267.567212194941,273.200703083242,263.474604201556,269.142660365851,278.316903822489,NA,219,282,63,13.1784704896953,0.0833530562033335,48,5,0.33,Orr_2009,-0.455899638491142,0.295400703232297,-0.187291215126471,-1.69003273706025,0.482725428856268,0.303344907009523,134.264617688291,-90.82,39.81
2010,Orr,239.893087141781,255.379233218452,270.865379295124,224.851500648159,252.288650831193,264.738386770868,245.914839000574,258.472009314669,285.535818933335,NA,246,288,42,30.9722921533431,0.0354660800034806,5,4,0.14,Orr_2010,2.08881288495608,2.09868956997606,-0.576437958163667,1.68647925262133,0.487297603905257,0.301179139881054,126.067176237351,-90.82,39.81
2011,Orr,236.864020770637,255.157997335987,273.451973901336,224.116184921331,252.509219726636,267.721137029996,242.490279901004,257.814971704486,286.010481715528,NA,238,280,42,36.5879531306988,0.030022608465627,22,5,0.12,Orr_2011,-0.91700004428774,-0.176163083387661,-0.330912539838352,-0.194562544895925,0.624623282569586,0.305121065236573,139.883646753683,-90.82,39.81
2012,Orr,217.204211447469,236.868977412088,256.533743376707,207.265699347963,234.525668078601,251.391281189452,222.502421742522,239.209938427722,266.41960546024,NA,209,265,56,39.3295319292384,0.0279297956908808,42,8,0.11,Orr_2012,-0.75925912462225,-0.99556978297373,1.59699423775424,0.765157248918508,0.497427435342111,0.301935439513218,122.889044230277,-90.82,39.81
2013,Orr,231.343273002411,248.647310555224,265.951348108037,222.041411382005,246.398033903463,261.061462236268,236.135458869621,250.85548339898,275.829027649183,NA,235,284,49,34.6080751056259,0.0317401585626782,12,7,0.12,Orr_2013,0.19775672343927,0.191055818939577,-0.213602882858291,-1.14388501604629,0.489039384876299,0.300800990064973,121.888238237665,-90.82,39.81
2014,Orr,212.759148045586,238.543840328008,264.32853261043,189.855648589763,233.547538694505,254.529842909812,222.666128374766,243.569930113987,287.683789248515,NA,220,269,49,51.5693845648437,0.0213007349354819,4,4,0.08,Orr_2014,-1.0063326113096,0.556870755331615,-1.5771376448005,-1.06004845071443,0.495364799981665,0.305946119380751,120.21513508971,-90.82,39.81
2015,Orr,222.375444674492,222.499998928453,222.624553182414,222.375444674492,222.499998928453,222.624553182414,222.375444674492,222.499998928453,222.624553182414,NA,226,226,0,0.249108507922131,4.40958761530152,1,1,1,Orr_2015,-0.845249725965542,0.852466837271069,-0.781660258340025,0.557491207420072,0.514948376820562,0.30614092383146,121.559729400395,-90.82,39.81
2016,Orr,224.455808503782,235.499882196275,246.543955888767,213.395449862104,233.216500632634,242.013765573422,228.946148576457,237.794543688656,257.489922403202,NA,232,246,14,22.0881473849852,0.0497310060574962,2,2,0.19,Orr_2016,0.435386676948653,-0.450626315813816,1.28204726053604,0.74590316336764,0.527622125201966,0.308673381690674,113.186573920218,-90.82,39.81
2017,Orr,222.540255168631,242.370629094308,262.201003019985,212.160304020452,239.929463531654,256.868182774495,227.819549566,244.836890243861,272.11775056304,NA,195,272,77,39.6607478513538,0.0276965476172713,135,10,0.11,Orr_2017,-1.44699605617003,-0.0119335165823298,1.45305149357472,0.0427547474299551,0.527450238921929,0.308134804679891,115.421197987692,-90.82,39.81
2005,PPAC,235.228424020047,244.592967362272,253.957510704497,229.206654717106,243.254513253557,251.195721488287,238.036659748191,245.918935619212,259.788144595167,NA,203,301,98,18.7290866844503,0.0586502593484017,774,15,0.23,PPAC_2005,0.744269751562426,-1.85364996453063,0.261836412338235,1.24502373613928,0.564509475903477,0.0182184843137704,133.477561435624,-86.93,41.44
2006,PPAC,245.048397163354,245.285069373914,245.521741584474,244.798098650378,245.224236875406,245.411118465646,245.158147946445,245.343919926211,245.779075070307,NA,202,293,91,0.473344421119691,2.32064801525399,701,13,0.38,PPAC_2006,-1.41470783703362,-0.39619092042454,0.705056062704364,-0.474824240012823,0.784935500619034,0.036902432205759,78.8230461127657,-86.93,41.44
2007,PPAC,205.332415305006,235.607126214469,265.881837123933,178.812678237627,229.984644125729,254.600935489267,216.388623283842,241.153296276887,291.683982397743,NA,180,292,112,60.5494218189272,0.0181416396458185,364,15,0.07,PPAC_2007,0.771261307001508,0.262555975791296,0.211023688953761,0.435366314002208,0.768161667798234,0.0487239905747035,82.1109057090365,-86.93,41.44
2008,PPAC,218.77169182045,242.850174810072,266.928657799693,198.954481884554,238.835265477683,258.566090982758,227.019998083889,246.924550988695,286.083300509471,NA,214,291,77,48.1569659792432,0.022810112079634,297,11,0.09,PPAC_2008,0.951695637496804,0.883928460682451,-0.0333377836364254,-0.854534756456913,0.802548025080873,0.052038819441671,76.512272773955,-86.93,41.44
2009,PPAC,235.633825564587,262.222057204787,288.810288844986,214.445830062808,257.637961304166,279.345813416733,245.161298196886,266.929193789538,311.002590942641,NA,226,289,63,53.1764632803992,0.0206569922788849,45,10,0.08,PPAC_2009,0.778736480314319,-0.794596318610712,-0.528009861725101,-1.73458376320693,0.783417868125723,0.0521586325332482,79.1011947554004,-86.93,41.44
2010,PPAC,235.452360118265,254.22344561963,272.994531120994,217.26868149651,250.121515890537,265.10771028919,243.356408777461,258.319515433812,292.452020741529,NA,204,288,84,37.5421710027296,0.0292595170194553,26,8,0.11,PPAC_2010,0.134931029563417,-0.0591517377451119,-0.0123133371795151,1.65224166400745,0.796663381992346,0.0439420675115155,104.74029768657,-86.93,41.44
2011,PPAC,234.219516666806,250.797480378042,267.375444089277,226.366276603157,248.910635783561,263.172698676427,238.46393794431,252.729225474278,275.363449551228,NA,224,280,56,33.1559274224711,0.0331302990685513,169,8,0.13,PPAC_2011,-1.12551301429336,0.928274049936075,-0.334461054055725,-0.6626576892103,0.805073676008891,0.0398973348305337,104.965644204584,-86.93,41.44
2013,PPAC,248.455790936645,259.499871280717,270.54395162479,237.473629205801,257.126220612549,265.96782032384,253.054861633024,261.930428104044,281.147500101286,NA,256,270,14,22.0881606881456,0.049730976105734,8,2,0.19,PPAC_2013,-1.12199205014026,0.756741656173913,-0.0298621498935142,-1.10877798623175,0.819018264316979,0.0410087769553361,109.338894427066,-86.93,41.44
2014,PPAC,242.287711072696,261.928266332032,281.568821591369,221.441227169469,256.834624625218,272.152338294836,251.525257132313,267.034702743449,303.862832719001,NA,241,276,35,39.2811105186736,0.0279642244554017,4,3,0.11,PPAC_2014,-0.321920940715281,1.72904836537657,-1.78779351581248,-1.37521265723608,0.823876526800651,0.0418108485917913,104.075716430053,-86.93,41.44
2015,PPAC,243.163389731613,245.277822340609,247.392254949606,241.610707277014,244.944207276989,246.704455674453,243.866237044165,245.606437291037,248.908152037608,NA,247,268,21,4.22886521799273,0.259754268527724,7,2,1,PPAC_2015,-1.79964874379475,0.364758653046077,-0.994684823483044,-0.0130205065967194,0.831175378692395,0.0454545454545455,102.219472230816,-86.93,41.44
2016,PPAC,263.774678551899,268.192185032084,272.609691512268,260.231830815997,267.442762803641,271.090716951746,265.285494496206,268.922655792278,276.060866958677,NA,253,274,21,8.83501296036866,0.124330976799832,6,3,0.49,PPAC_2016,-0.543248317813485,0.460442458706863,1.31242012386206,0.683360573485254,0.831358709352156,0.0455232944519559,103.342385388379,-86.93,41.44
2017,PPAC,243.012696392485,258.878762714706,274.744829036927,235.417658838812,257.044179056384,270.694596913248,247.09977620248,260.741344765624,282.280081865993,NA,209,293,84,31.732132644442,0.0346168284278254,49,10,0.13,PPAC_2017,0.693315860179545,-0.864292638593874,1.35154782891877,0.142343525146975,0.8320920319912,0.04462955748562,101.237878076075,-86.93,41.44
2018,PPAC,224.710606501998,225.512735651071,226.314864800144,224.71044320904,225.512674939595,226.314700872484,224.710774085048,225.512795050877,226.315035298596,NA,229,229,0,1.60425829814591,0.684718784169695,1,1,1,PPAC_2018,1.56069056255457,-0.731347952035785,0.159763233029821,0.828248795009508,0.832481609643192,0.0449618443064372,106.100015659673,-86.93,41.44
2019,PPAC,234.447356467957,250.404353455363,266.361350442768,231.779853854699,249.580193275777,264.318286159744,236.500094591281,251.223917017476,269.049023155585,NA,228,277,49,31.9139939748111,0.0344195650431155,91,8,0.13,PPAC_2019,0.332619182916932,0.804634904670312,-1.75261053343365,0.434447633895274,0.826351490707427,0.0478034695327359,120.993369389189,-86.93,41.44
2005,Rosemount,227.340627911845,248.292367088183,269.244106264522,217.430386093354,245.788658477984,263.678285146156,232.784665972147,250.768703364657,279.544130569809,NA,196,315,119,41.9034783526768,0.0262141911503495,797,16,0.1,Rosemount_2005,-0.414250895310239,-0.571013922494526,0.666337270877294,1.06406877730352,0,0,NA,-93.1,44.71
2006,Rosemount,239.267092438962,256.39972937509,273.532366311218,228.930923568691,254.038334506642,268.564278230802,244.228647108994,258.721363055773,283.840369412734,NA,195,286,91,34.2652738722566,0.0320576976999141,280,13,0.12,Rosemount_2006,0.508189387773665,-1.18369325480314,0.678055389762402,0.822038295478145,0.492790669808683,0.111315253424931,142.660291340245,-93.1,44.71
2007,Rosemount,198.484471194856,220.151259587061,241.818047979265,186.167705092573,217.344167212823,235.581831035292,204.687187177503,223.063011400332,254.359244125236,NA,187,278,91,43.3335767844083,0.0253490681571641,216,13,0.1,Rosemount_2007,-0.468934889727887,-0.669509038719019,0.437769341611849,0.940015690894844,0.391460638255382,0.165315333306706,155.548359855985,-93.1,44.71
2008,Rosemount,229.876236811871,254.550980336958,279.225723862045,203.348307203283,248.334367576921,267.612074351597,241.451549383349,260.739399332419,304.559862442166,NA,214,277,63,49.3494870501746,0.0222589100122719,292,9,0.08,Rosemount_2008,-0.437795052648765,-1.48614429679838,-0.38482527282109,-1.15995181806473,0.480206698213733,0.0716912817809962,188.086289607969,-93.1,44.71
2009,Rosemount,236.330876598851,251.758134364716,267.185392130581,231.089667090859,250.337605635389,263.917247555932,239.580951440343,253.190482398321,272.616146542719,NA,191,289,98,30.8545155317294,0.0356014597043982,342,9,0.14,Rosemount_2009,-0.214181947863212,-1.54654310237917,-0.468209171639002,-1.40098964858405,0.472621652898244,0.0661228044043677,186.524123812143,-93.1,44.71
2010,Rosemount,233.511386382485,248.032401607597,262.55341683271,228.753895541468,246.741391393552,259.552806274414,236.491319860601,249.307533970967,267.339502377471,NA,211,267,56,29.0420304502251,0.0378233124327947,82,8,0.15,Rosemount_2010,1.34708261517435,1.3328022610951,0.0469140969832006,0.862383216462809,0.434409982011298,0.0741432450702934,173.018455709353,-93.1,44.71
